KEGG_ID;Pathway;PathwayCommons;ConsensusPath;HIPPIE;iREF;STRING;OmniPath
hsa05012;Parkinson disease;0.108;0.0617;0.0463;0.018;0.0694;0.0411
hsa05014;Amyotrophic lateral sclerosis;0.0462;0.0253;0.0451;0.011;0.0407;0.0275
hsa05016;Huntington disease;0.126;0.072;0.1414;0.0437;0.0874;0.0463
hsa05017;Spinocerebellar ataxia;0.1154;0.0427;0.094;0.0171;0.094;0.0385
hsa05030;Cocaine addiction;0.5;0.1667;0.2143;0.0;0.3333;0.2381
hsa05032;Morphine addiction;0.9038;0.0769;0.3462;0.0;0.7692;0.1923
hsa05034;Alcoholism;0.0096;0.0069;0.0055;0.0007;0.0371;0.0055
hsa05100;Bacterial invasion of epithelial cells;0.9412;0.5588;0.7647;0.1471;0.8235;0.2941
hsa05130;Pathogenic Escherichia coli infection;0.3311;0.1892;0.2568;0.098;0.2365;0.1486
hsa05131;Shigellosis;0.4833;0.2917;0.4167;0.1333;0.4292;0.3
hsa05132;Salmonella infection;0.4012;0.2485;0.3234;0.1347;0.2934;0.2126
hsa05133;Pertussis;0.3077;0.2154;0.3231;0.1692;0.2154;0.1846
hsa05135;Yersinia infection;0.5097;0.3484;0.4452;0.1742;0.3677;0.3097
hsa05140;Leishmaniasis;0.6053;0.4211;0.5;0.3158;0.3684;0.2895
hsa05142;Chagas disease;0.6351;0.2027;0.3649;0.1486;0.5405;0.2297
hsa05145;Toxoplasmosis;0.7273;0.6;0.6727;0.4;0.6364;0.5818
hsa05146;Amoebiasis;0.7059;0.2059;0.5882;0.0882;0.6765;0.2647
hsa05152;Tuberculosis;0.38;0.3;0.42;0.1533;0.34;0.28
hsa05160;Hepatitis C;0.6744;0.3953;0.4651;0.1977;0.4302;0.4302
hsa05161;Hepatitis B;0.4774;0.3226;0.4645;0.2065;0.3742;0.4
hsa05162;Measles;0.58;0.38;0.44;0.2267;0.3867;0.3533
hsa05163;Human cytomegalovirus infection;0.7226;0.365;0.6204;0.1825;0.6423;0.4818
hsa05164;Influenza A;0.7463;0.403;0.4776;0.1791;0.3731;0.403
hsa05165;Human papillomavirus infection;0.3492;0.0972;0.1435;0.0463;0.3345;0.296
hsa05166;Human T-cell leukemia virus 1 infection;0.3169;0.1831;0.2958;0.0915;0.1831;0.1549
hsa05167;Kaposi sarcoma-associated herpesvirus infection;0.4512;0.2927;0.3659;0.1341;0.3049;0.3049
hsa05168;Herpes simplex virus 1 infection;0.3786;0.251;0.3086;0.1399;0.2798;0.2428
hsa05169;Epstein-Barr virus infection;0.3574;0.2455;0.3321;0.148;0.2599;0.2238
hsa05170;Human immunodeficiency virus 1 infection;0.5213;0.3191;0.383;0.1809;0.4734;0.3138
hsa05200;Pathways in cancer;0.3932;0.1487;0.1894;0.0776;0.3128;0.2522
hsa05205;Proteoglycans in cancer;0.744;0.2113;0.2589;0.0744;0.7827;0.6339
hsa05210;Colorectal cancer;0.7292;0.4583;0.5208;0.2917;0.7083;0.5417
hsa05211;Renal cell carcinoma;0.8163;0.6939;0.6531;0.4898;0.7551;0.4898
hsa05212;Pancreatic cancer;0.6304;0.3696;0.5217;0.2174;0.6304;0.587
hsa05213;Endometrial cancer;0.5;0.32;0.42;0.18;0.48;0.56
hsa05214;Glioma;0.7188;0.5938;0.75;0.3438;0.8125;0.625
hsa05215;Prostate cancer;0.6042;0.2917;0.5;0.1146;0.5938;0.8542
hsa05217;Basal cell carcinoma;0.7786;0.0923;0.1661;0.0295;0.7638;0.7085
hsa05218;Melanoma;0.6106;0.177;0.3274;0.0619;0.6283;0.9381
hsa05220;Chronic myeloid leukemia;0.3762;0.2871;0.3861;0.2178;0.396;0.3168
hsa05221;Acute myeloid leukemia;0.7222;0.3611;0.4444;0.2222;0.5556;0.3611
hsa05222;Small cell lung cancer;0.3265;0.2245;0.4286;0.102;0.2857;0.2653
hsa05223;Non-small cell lung cancer;0.6735;0.551;0.6735;0.2449;0.6735;0.6939
hsa05224;Breast cancer;0.3333;0.0858;0.1183;0.0325;0.3264;0.2712
hsa05225;Hepatocellular carcinoma;0.2077;0.0421;0.0641;0.022;0.2011;0.175
hsa05226;Gastric cancer;0.3573;0.0885;0.1261;0.042;0.3496;0.3175
hsa05231;Choline metabolism in cancer;0.5641;0.359;0.3846;0.1282;0.641;0.4103
hsa05235;PD-L1 expression and PD-1 checkpoint pathway in cancer;0.7419;0.6129;0.7097;0.5484;0.6129;0.7419
hsa05321;Inflammatory bowel disease;0.8205;0.1795;0.2564;0.0256;0.4103;0.2051
hsa05418;Fluid shear stress and atherosclerosis;0.0436;0.0157;0.0183;0.0061;0.0209;0.0105
